temperatura;70;70.1;70.2;70.3;70.4;70.5;70.6;70.7;70.8;70.9;71;71.1;71.2;71.3;71.4;71.5;71.6;71.7;71.8;71.9;72;72.1;72.2;72.3;72.4;72.5;72.6;72.7;72.8;72.9;73;73.1;73.2;73.3;73.4;73.5;73.6;73.7;73.8;73.9;74;74.1;74.2;74.3;74.4;74.5;74.6;74.7;74.8;74.9;75;75.1;75.2;75.3;75.4;75.5;75.6;75.7;75.8;75.9;76;76.1;76.2;76.3;76.4;76.5;76.6;76.7;76.8;76.9;77;77.1;77.2;77.3;77.4;77.5;77.6;77.7;77.8;77.9;78;78.1;78.2;78.3;78.4;78.5;78.6;78.7;78.8;78.9;79;79.1;79.2;79.3;79.4;79.5;79.6;79.7;79.8;79.9;80;80.1;80.2;80.3;80.4;80.5;80.6;80.7;80.8;80.9;81;81.1;81.2;81.3;81.4;81.5;81.6;81.7;81.8;81.9;82;82.1;82.2;82.3;82.4;82.5;82.6;82.7;82.8;82.9;83;83.1;83.2;83.3;83.4;83.5;83.6;83.7;83.8;83.9;84;84.1;84.2;84.3;84.4;84.5;84.6;84.7;84.8;84.9;85;85.1;85.2;85.3;85.4;85.5;85.6;85.7;85.8;85.9;86;86.1;86.2;86.3;86.4;86.5;86.6;86.7;86.8;86.9;87;87.1;87.2;87.3;87.4;87.5;87.6;87.7;87.8;87.9;88;88.1;88.2;88.3;88.4;88.5;88.6;88.7;88.8;88.9;89;89.1;89.2;89.3;89.4;89.5;89.6;89.7;89.8;89.9;90;90.1;90.2;90.3;90.4;90.5;90.6;90.7;90.8;90.9;91;91.1;91.2;91.3;91.4;91.5;91.6;91.7;91.8;91.9;92;92.1;92.2;92.3;92.4;92.5;92.6;92.7;92.8;92.9;93;93.1;93.2;93.3;93.4;93.5;93.6;93.7;93.8;93.9;94;94.1;94.2;94.3;94.4;94.5;94.6;94.7;94.8;94.9;95;95.1;95.2;95.3;95.4;95.5;95.6;95.7;95.8;95.9;96;96.1;96.2;96.3;96.4;96.5;96.6;96.7;96.8;96.9;97;97.1;97.2;97.3;97.4;97.5;97.6;97.7;97.8;97.9;98;98.1;98.2;98.3;98.4;98.5;98.6;98.7;98.8;98.9;99;99.1;99.2;99.3;99.4;99.5;99.6;99.7;99.8;99.9;100;100.1;100.2;100.3;100.4;100.5;100.6;100.7;100.8;100.9;101;101.1;101.2;101.3;101.4;101.5;101.6;101.7;101.8;101.9
-10;79.15;79.24;79.33;79.43;79.52;79.61;79.7;79.79;79.89;79.98;80.07;80.16;80.25;80.34;80.43;80.53;80.62;80.71;80.8;80.89;80.98;81.07;81.16;81.25;81.34;81.44;81.53;81.62;81.71;81.8;81.89;81.98;82.07;82.16;82.25;82.35;82.44;82.53;82.62;82.71;82.8;82.89;82.98;83.07;83.16;83.26;83.35;83.44;83.53;83.62;83.71;83.8;83.89;83.99;84.08;84.17;84.26;84.35;84.45;84.54;84.63;84.72;84.81;84.9;84.99;85.08;85.17;85.26;85.35;85.44;85.53;85.62;85.71;85.8;85.89;85.98;86.07;86.16;86.25;86.34;86.43;86.52;86.61;86.7;86.79;86.88;86.97;87.06;87.15;87.24;87.33;87.42;87.51;87.6;87.69;87.78;87.87;87.96;88.05;88.14;88.23;88.32;88.41;88.5;88.59;88.68;88.77;88.86;88.95;89.04;89.13;89.22;89.31;89.4;89.49;89.58;89.66;89.75;89.84;89.93;90.02;90.11;90.19;90.28;90.36;90.45;90.54;90.62;90.71;90.79;90.88;90.97;91.05;91.14;91.22;91.31;91.39;91.48;91.56;91.65;91.73;91.82;91.9;91.99;92.07;92.16;92.24;92.33;92.41;92.5;92.58;92.67;92.75;92.84;92.92;93.01;93.09;93.18;93.26;93.35;93.43;93.51;93.6;93.68;93.76;93.85;93.93;94.01;94.09;94.18;94.26;94.34;94.43;94.51;94.59;94.68;94.76;94.84;94.92;95.01;95.09;95.17;95.25;95.33;95.41;95.5;95.58;95.66;95.74;95.82;95.9;95.98;96.06;96.14;96.22;96.3;95.38;96.46;96.54;96.62;96.7;96.78;96.86;96.94;97.02;97.1;97.18;97.26;97.34;97.42;97.5;97.58;97.65;97.73;97.81;97.89;97.96;98.04;98.12;98.19;98.27;98.35;98.42;98.5;98.57;98.65;98.73;98.8;98.88;98.95;99.03;99.1;99.18;99.26;99.33;99.4;99.47;99.55;99.62;99.7;99.77;99.84;99.92;99.99;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
-9.5;79.01;79.1;79.19;79.28;79.38;79.47;79.56;79.65;79.75;79.84;79.93;80.02;80.11;80.2;80.29;80.39;80.48;80.57;80.66;80.75;80.84;80.93;81.02;81.12;81.21;81.3;81.39;81.48;81.58;81.67;81.76;81.85;81.94;82.04;82.13;82.22;82.31;82.4;82.5;82.59;82.68;82.77;82.86;82.95;83.04;83.13;83.22;83.31;83.4;83.49;83.58;83.67;83.76;83.85;83.94;84.04;84.13;84.22;84.31;84.4;84.49;84.58;84.67;84.76;84.85;84.95;85.04;85.13;85.22;85.31;85.4;85.49;85.58;85.67;85.76;85.85;85.94;86.03;86.12;86.21;86.3;86.39;86.48;86.57;86.66;86.75;86.84;86.93;87.02;87.11;87.21;87.29;87.38;87.47;87.56;87.65;87.74;87.83;87.92;88.01;88.1;88.19;88.28;88.37;88.46;88.56;88.65;88.74;88.83;88.92;89.01;89.1;89.19;89.28;89.37;89.46;89.54;89.63;89.72;89.81;89.9;89.99;90.07;90.16;90.25;90.33;90.42;90.51;90.59;90.68;90.77;90.85;90.94;91.02;91.11;91.19;91.28;91.36;91.45;91.53;91.62;91.7;91.79;91.87;91.96;92.04;92.13;92.21;92.3;92.38;92.47;92.56;92.64;92.73;92.81;92.9;92.98;93.07;93.15;93.24;93.32;93.4;93.49;93.57;93.65;93.74;93.82;93.9;93.99;94.07;94.16;94.24;94.32;94.4;94.49;94.57;94.65;94.73;94.82;94.9;94.98;95.06;95.14;95.23;95.31;95.39;95.47;95.55;95.64;95.72;95.8;95.88;95.96;96.04;96.12;96.2;96.28;96.36;96.44;96.52;96.61;96.69;96.77;96.85;96.93;97.01;97.09;97.17;97.25;97.33;97.41;97.48;97.56;97.64;97.72;97.8;97.88;97.95;98.03;98.11;98.19;98.27;98.34;98.42;98.49;98.57;98.65;98.72;98.8;98.87;98.95;99.02;99.1;99.17;99.25;99.32;99.39;99.47;99.54;99.62;99.69;99.76;99.84;99.91;99.99;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
-9;78.86;78.95;79.05;79.14;79.23;79.33;79.42;79.51;79.6;79.7;79.79;79.88;79.97;80.06;80.15;80.25;80.34;80.43;80.52;80.61;80.7;80.79;80.89;80.98;81.07;81.17;81.26;81.35;81.44;81.54;81.63;81.72;81.82;81.91;82;82.1;82.19;82.28;82.37;82.47;82.56;82.65;82.74;82.83;82.92;83.01;83.09;83.18;83.27;83.36;83.45;83.54;83.63;83.72;83.81;83.9;83.99;84.08;84.17;84.26;84.35;84.44;84.53;84.63;84.72;84.81;84.9;84.99;85.09;85.18;85.27;85.36;85.45;85.54;85.63;85.72;85.8;85.89;85.98;86.07;86.16;86.25;86.34;86.44;86.53;86.62;86.71;86.8;86.9;86.99;87.08;87.17;87.26;87.35;87.44;87.53;87.61;87.7;87.79;87.88;87.97;88.06;88.15;88.25;88.34;88.43;88.52;88.61;88.71;88.8;88.89;88.98;89.07;89.16;89.25;89.34;89.42;89.51;89.6;89.69;89.78;89.87;89.95;90.04;90.13;90.22;90.3;90.39;90.48;90.56;90.65;90.74;90.82;90.91;90.99;91.08;91.16;91.25;91.33;91.42;91.5;91.59;91.67;91.76;91.84;91.93;92.02;92.1;92.19;92.27;92.36;92.45;92.53;92.62;92.7;92.79;92.87;92.96;93.04;93.13;93.21;93.29;93.38;93.46;93.55;93.63;93.71;93.8;93.88;93.97;94.05;94.13;94.21;94.3;94.38;94.46;94.54;94.62;94.71;94.79;94.87;94.95;95.04;95.12;95.2;95.29;95.37;95.45;95.53;95.62;95.7;95.78;95.86;95.94;96.02;96.11;96.19;96.27;96.35;96.43;96.51;96.59;96.67;96.75;96.83;96.91;96.99;97.07;97.15;97.23;97.31;97.39;97.47;97.55;97.63;97.71;97.79;97.87;97.95;98.03;98.11;98.19;98.26;98.34;98.41;98.49;98.57;98.64;98.72;98.79;98.87;98.94;99.02;99.09;99.17;99.24;99.31;99.39;99.46;99.54;99.61;99.68;99.76;99.83;99.91;99.98;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
-8.5;78.71;78.8;78.9;78.99;79.08;79.18;79.27;79.36;79.46;79.55;79.65;79.74;79.83;79.92;80.01;80.1;80.19;80.29;80.38;80.47;80.56;80.65;80.74;80.84;80.93;81.02;81.11;81.2;81.3;81.39;81.48;81.57;81.67;81.76;81.85;81.94;82.04;82.13;82.22;82.31;82.41;82.5;82.59;82.68;82.77;82.86;82.95;83.04;83.13;83.22;83.31;83.4;83.49;83.58;83.67;83.76;83.85;83.95;84.04;84.13;84.22;84.31;84.4;84.5;84.59;84.68;84.77;84.86;84.96;85.05;85.14;85.23;85.32;85.41;85.5;85.59;85.67;85.76;85.85;85.94;86.03;86.12;86.21;86.31;86.4;86.49;86.58;86.67;86.77;86.86;86.95;87.04;87.13;87.22;87.31;87.4;87.49;87.58;87.67;87.76;87.85;87.94;88.03;88.12;88.21;88.3;88.39;88.48;88.57;88.66;88.76;88.84;88.93;89.02;89.11;89.2;89.29;89.38;89.47;89.56;89.65;89.73;89.82;89.91;90;90.09;90.17;90.26;90.35;90.44;90.53;90.61;90.7;90.78;90.87;90.96;91.04;91.13;91.22;91.3;91.39;91.48;91.56;91.65;91.73;91.82;91.91;91.99;92.08;92.16;92.25;92.34;92.42;92.51;92.59;92.68;92.76;92.85;92.93;93.02;93.11;93.19;93.27;93.36;93.44;93.53;93.61;93.69;93.78;93.86;93.95;94.03;94.11;94.19;94.28;94.36;94.44;94.52;94.61;94.69;94.77;94.85;94.94;95.02;95.1;95.19;95.27;95.35;95.43;95.52;95.6;95.68;95.76;95.84;95.93;96.01;96.09;96.17;96.25;96.33;96.42;96.5;96.58;96.66;96.74;96.82;96.9;96.98;97.06;97.14;97.22;97.29;97.37;97.45;97.53;97.61;97.69;97.77;97.85;97.93;98.01;98.09;98.16;98.24;98.32;98.39;98.47;98.55;98.62;98.7;98.78;98.85;98.93;99;99.08;99.15;99.23;99.3;99.38;99.45;99.53;99.6;99.68;99.75;99.83;99.9;99.98;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
-8;78.56;78.65;78.75;78.84;78.94;79.03;79.12;79.22;79.31;79.41;79.5;79.59;79.68;79.78;79.87;79.96;80.05;80.14;80.24;80.33;80.42;80.51;80.6;80.69;80.78;80.88;80.97;81.06;81.15;81.24;81.33;81.42;81.51;81.61;81.7;81.79;81.88;81.97;82.07;82.16;82.25;82.34;82.43;82.52;82.61;82.71;82.8;82.89;82.98;83.07;83.16;83.25;83.35;83.44;83.53;83.63;83.72;83.81;83.9;84;84.09;84.18;84.27;84.37;84.46;84.55;84.64;84.73;84.83;84.92;85.01;85.1;85.19;85.28;85.37;85.46;85.54;85.63;85.72;85.81;85.9;85.99;86.08;86.18;86.27;86.36;86.45;86.54;86.64;86.73;86.82;86.91;87;87.09;87.18;87.27;87.36;87.45;87.54;87.63;87.72;87.81;87.9;87.99;88.08;88.17;88.26;88.35;88.44;88.53;88.62;88.71;88.8;88.89;88.98;89.07;89.15;89.24;89.33;89.42;89.51;89.6;89.69;89.78;89.87;89.96;90.04;90.13;90.22;90.31;90.4;90.49;90.58;90.66;90.75;90.84;90.93;91.02;91.1;91.19;91.28;91.37;91.45;91.54;91.62;91.71;91.8;91.88;91.97;92.05;92.14;92.23;92.31;92.4;92.48;92.57;92.66;92.74;92.83;92.91;93;93.08;93.17;93.25;93.34;93.42;93.5;93.59;93.67;93.76;93.84;93.92;94.01;94.09;94.17;94.26;94.34;94.42;94.5;94.59;94.67;94.75;94.84;94.92;95;95.09;95.17;95.25;95.33;95.42;95.5;95.58;95.66;95.75;95.83;95.91;95.99;96.07;96.16;96.24;96.32;96.4;96.48;96.56;96.64;96.72;96.8;96.88;96.96;97.04;97.12;97.2;97.28;97.36;97.44;97.52;97.59;97.67;97.75;97.83;97.91;97.99;98.06;98.14;98.22;98.3;98.37;98.45;98.53;98.6;98.68;98.76;98.83;98.91;98.98;99.06;99.14;99.21;99.29;99.36;99.44;99.52;99.59;99.67;99.74;99.82;99.9;99.97;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
-7.5;78.43;78.52;78.61;78.7;78.8;78.89;78.98;79.08;79.17;79.26;79.36;79.45;79.54;79.63;79.73;79.82;79.91;80;80.1;80.19;80.28;80.37;80.46;80.56;80.65;80.74;80.83;80.92;81.02;81.11;81.2;81.29;81.38;81.48;81.57;81.66;81.76;81.85;81.94;82.04;82.13;82.22;82.31;82.4;82.5;82.59;82.68;82.77;82.86;82.95;83.05;83.14;83.23;83.32;83.41;83.5;83.59;83.68;83.77;83.86;83.96;84.05;84.14;84.23;84.32;84.42;84.51;84.6;84.69;84.78;84.88;84.97;85.06;85.15;85.24;85.33;85.42;85.51;85.6;85.69;85.78;85.87;85.96;86.05;86.14;86.23;86.32;86.42;86.51;86.6;86.69;86.78;86.87;86.96;87.05;87.14;87.23;87.32;87.41;87.5;87.6;87.69;87.78;87.87;87.96;88.05;88.14;88.23;88.32;88.41;88.5;88.59;88.68;88.77;88.86;88.95;89.03;89.12;89.21;89.3;89.39;89.48;89.57;89.66;89.75;89.84;89.92;90.01;90.1;90.19;90.28;90.37;90.46;90.55;90.63;90.72;90.81;90.9;90.99;91.08;91.17;91.25;91.34;91.42;91.51;91.6;91.68;91.77;91.85;91.94;92.03;92.11;92.2;92.28;92.37;92.46;92.54;92.63;92.72;92.8;92.89;92.97;93.06;93.14;93.23;93.31;93.4;93.48;93.57;93.65;93.74;93.82;93.9;93.98;94.07;94.15;94.23;94.32;94.4;94.48;94.57;94.65;94.73;94.82;94.9;94.98;95.07;95.15;95.23;95.32;95.4;95.48;95.57;95.65;95.73;95.81;95.9;95.98;96.06;96.14;96.23;96.31;96.39;96.47;96.55;96.63;96.71;96.79;96.87;96.95;97.03;97.1;97.18;97.26;97.34;97.42;97.5;97.58;97.66;97.74;97.82;97.9;97.98;98.05;98.13;98.21;98.29;98.36;98.44;98.52;98.6;98.67;98.75;98.82;98.9;98.98;99.05;99.13;99.21;99.28;99.36;99.44;99.51;99.59;99.67;99.74;99.82;99.9;99.97;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
-7;78.29;78.38;78.47;78.57;78.66;78.75;78.84;78.93;79.03;79.12;79.21;79.3;79.4;79.49;79.58;79.68;79.77;79.86;79.95;80.05;80.14;80.23;80.32;80.42;80.51;80.6;80.69;80.78;80.88;80.97;81.06;81.16;81.25;81.35;81.44;81.54;81.63;81.73;81.82;81.92;82.01;82.1;82.19;82.29;82.38;82.47;82.56;82.65;82.75;82.84;82.93;83.02;83.11;83.2;83.29;83.38;83.46;83.55;83.64;83.73;83.82;83.91;84;84.1;84.19;84.28;84.37;84.46;84.56;84.65;84.74;84.83;84.92;85.01;85.1;85.2;85.29;85.38;85.47;85.56;85.65;85.74;85.83;85.92;86.01;86.11;86.2;86.29;86.38;86.47;86.56;86.65;86.74;86.83;86.92;87.02;87.11;87.2;87.29;87.38;87.47;87.56;87.65;87.74;87.83;87.93;88.02;88.11;88.2;88.29;88.38;88.47;88.56;88.65;88.74;88.83;88.91;89;89.09;89.18;89.27;89.36;89.45;89.54;89.63;89.72;89.8;89.89;89.98;90.07;90.16;90.25;90.34;90.43;90.52;90.61;90.69;90.78;90.87;90.96;91.05;91.14;91.22;91.31;91.39;91.48;91.57;91.65;91.74;91.82;91.91;92;92.08;92.17;92.26;92.35;92.43;92.52;92.61;92.69;92.78;92.87;92.95;93.04;93.12;93.21;93.29;93.38;93.46;93.55;93.63;93.71;93.8;93.88;93.96;94.05;94.13;94.21;94.29;94.38;94.46;94.54;94.63;94.71;94.8;94.88;94.96;95.05;95.13;95.22;95.3;95.38;95.47;95.55;95.63;95.72;95.8;95.88;95.96;96.05;96.13;96.21;96.29;96.37;96.45;96.53;96.61;96.69;96.77;96.85;96.93;97.01;97.09;97.17;97.25;97.33;97.41;97.49;97.57;97.65;97.73;97.81;97.89;97.96;98.04;98.12;98.2;98.28;98.35;98.43;98.51;98.58;98.66;98.74;98.82;98.9;98.97;99.05;99.13;99.2;99.28;99.36;99.43;99.51;99.59;99.67;99.74;99.82;99.9;99.97;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
-6.5;78.15;78.24;78.33;78.42;78.52;78.61;78.7;78.79;78.89;78.98;79.07;79.16;79.26;79.35;79.44;79.54;79.63;79.72;79.81;79.91;80;80.09;80.19;80.28;80.37;80.47;80.56;80.65;80.74;80.84;80.93;81.02;81.12;81.21;81.31;81.4;81.49;81.59;81.68;81.78;81.87;81.96;82.06;82.15;82.24;82.33;82.43;82.52;82.61;82.7;82.8;82.88;82.97;83.06;83.15;83.24;83.33;83.42;83.51;83.6;83.69;83.78;83.87;83.96;84.06;84.15;84.24;84.33;84.42;84.51;84.61;84.7;84.79;84.88;84.97;85.07;85.16;85.25;85.34;85.43;85.53;85.62;85.71;85.8;85.89;85.98;86.07;86.17;86.26;86.35;86.44;86.53;86.62;86.71;86.8;86.89;86.98;87.07;87.16;87.25;87.35;87.44;87.53;87.62;87.71;87.8;87.89;87.98;88.07;88.16;88.26;88.34;88.43;88.52;88.61;88.7;88.79;88.88;88.97;89.06;89.15;89.24;89.33;89.42;89.51;89.6;89.68;89.77;89.86;89.95;90.04;90.13;90.22;90.31;90.4;90.49;90.57;90.66;90.75;90.84;90.93;91.02;91.1;91.19;91.28;91.36;91.45;91.54;91.62;91.71;91.8;91.88;91.97;92.06;92.15;92.23;92.32;92.41;92.5;92.58;92.67;92.76;92.84;92.93;93.01;93.1;93.18;93.27;93.35;93.44;93.52;93.6;93.69;93.77;93.85;93.93;94.02;94.1;94.18;94.26;94.35;94.43;94.51;94.6;94.68;94.77;94.85;94.94;95.02;95.11;95.19;95.27;95.36;95.44;95.52;95.61;95.69;95.77;95.86;95.94;96.03;96.11;96.19;96.27;96.35;96.43;96.51;96.59;96.67;96.75;96.83;96.91;96.99;97.07;97.15;97.23;97.31;97.39;97.47;97.55;97.63;97.71;97.79;97.87;97.94;98.02;98.1;98.18;98.26;98.34;98.42;98.49;98.57;98.65;98.73;98.8;98.88;98.96;99.04;99.11;99.19;99.27;99.34;99.42;99.5;99.58;99.65;99.73;99.81;99.88;99.96;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
-6;78;78.09;78.19;78.28;78.37;78.47;78.56;78.65;78.74;78.84;78.93;79.02;79.12;79.21;79.3;79.4;79.49;79.58;79.67;79.77;79.86;79.95;80.05;80.14;80.24;80.33;80.42;80.52;80.61;80.71;80.8;80.89;80.99;81.08;81.17;81.27;81.36;81.45;81.54;81.64;81.73;81.82;81.92;82.01;82.1;82.2;82.29;82.38;82.47;82.57;82.66;82.75;82.84;82.93;83.02;83.11;83.2;83.29;83.38;83.47;83.56;83.65;83.74;83.83;83.92;84.02;84.11;84.2;84.29;84.38;84.47;84.56;84.66;84.75;84.84;84.94;85.03;85.12;85.21;85.31;85.4;85.49;85.58;85.68;85.77;85.86;85.95;86.04;86.14;86.23;86.32;86.41;86.5;86.59;86.68;86.77;86.86;86.95;87.04;87.13;87.22;87.31;87.4;87.49;87.58;87.68;87.77;87.86;87.95;88.04;88.13;88.22;88.31;88.4;88.49;88.58;88.67;88.76;88.85;88.94;89.03;89.12;89.21;89.3;89.39;89.48;89.56;89.65;89.74;89.83;89.92;90.01;90.1;90.19;90.28;90.37;90.45;90.54;90.63;90.72;90.81;90.9;90.98;91.07;91.16;91.25;91.33;91.42;91.51;91.59;91.68;91.77;91.86;91.94;92.03;92.12;92.21;92.3;92.38;92.47;92.56;92.65;92.73;92.82;92.9;92.99;93.07;93.16;93.24;93.33;93.41;93.49;93.57;93.66;93.74;93.82;93.9;93.98;94.07;94.15;94.23;94.32;94.4;94.49;94.57;94.66;94.74;94.83;94.91;95;95.08;95.16;95.25;95.33;95.42;95.5;95.58;95.67;95.75;95.84;95.92;96;96.08;96.16;96.24;96.32;96.4;96.48;96.56;96.64;96.72;96.8;96.88;96.96;97.04;97.13;97.21;97.29;97.37;97.45;97.53;97.61;97.69;97.77;97.85;97.93;98;98.08;98.16;98.24;98.32;98.4;98.48;98.55;98.63;98.71;98.79;98.87;98.94;99.02;99.1;99.18;99.25;99.33;99.41;99.49;99.56;99.64;99.72;99.79;99.87;99.95;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
